Ticket Number/ID,Date of Apprehension,Time of Apprehension,Name of Driver,Gender,Age,Phone Number,Address,Driver's License No.,Driver's License Type,Date of Birth,Plate No.,Type/Model of Vehicle,Vehicle Make,Vehicle Model,Vehicle Year,Vehicle Color,Classification of Vehicle,Vehicle Owner's Name,Vehicle Owner's Address,Place of Violation,Violation Type,Violation Description,Fine Amount,Fine Status,Apprehending Officer,Note/Remarks,Accident,Personal Injury,Property Damage
5EDB3F8E,2024-08-29,18:19:15,Rhonda Liu,Male,59,+1-219-660-8121x21167,"840 Thomas Spurs Apt. 862
Moralesberg, DC 46423",DL93008914,Student,1984-04-07,RK4544,Fight,Honda,Altima,2015,White,PUJ,Zachary Stanley,"167 Sims Groves
Michaelside, DC 81908",Barangay Tomas Cabili,Illegal Parking,Perform idea suffer doctor control buy who job recent history stay.,2589,Paid,Rachel Parker,Repeat offense,Yes,No,No
FBB5E95E,2024-04-12,00:53:27,Richard Chan,Male,29,001-993-662-4609,"260 Jessica Groves
North Paul, ND 99504",DL00185912,Professional,1966-10-26,IC5212,Include,Toyota,Corolla,2002,Black,MC,Christine Salinas,"Unit 1120 Box 0665
DPO AA 98372",Barangay Mahayahay,Over Speeding,Be allow American clear often wide also under worker student.,3280,Pending,Calvin King,First offense,No,Yes,No
B72945C3,2024-11-21,10:51:17,Alyssa Nunez,Female,51,001-490-325-2739x592,"USS White
FPO AE 14801",DL29165944,Student,1970-11-17,ca2454,Although,Nissan,Altima,2001,Gray,Private,David Griffin,"Unit 4597 Box 9436
DPO AP 25427",Barangay Suarez,No Seatbelt,Growth main child season standard how leave law describe break.,2782,Pending,Derek Marsh,Repeat offense,No,No,Yes
1B5FEACD,2024-06-29,22:17:07,Jodi Ritter,Female,68,001-971-931-9597x394,"1329 Willis Common Apt. 456
Tyroneland, NE 75334",DL59216127,Non-Professional,1991-04-11,Yz2010,President,Toyota,Altima,2008,Silver,PUJ,Dawn Lawrence,"24219 Gray Crescent Suite 849
Shelbyport, MA 11277",Barangay Santiago,No Seatbelt,Population prove trial edge method could whether.,1709,Disputed,Robert Clements,First offense,Yes,No,No
6D4EA801,2024-11-01,03:26:41,Jodi Jenkins,Male,38,001-122-282-3579,"330 Rebecca Drive Apt. 894
New Alan, MI 02811",DL49599900,Non-Professional,1991-04-24,pX3720,Avoid,Ford,Corolla,2019,Blue,PUV,Michael Shelton,"086 Michelle Track Apt. 721
Allisonmouth, MO 27682",San Miguel,Over Speeding,Speak law decision who career executive kid see.,2107,Pending,Joseph Rodriguez,None,No,Yes,No
17AA292E,2024-05-05,01:54:22,Brian Duran,Male,71,2251708033,"43365 Wilson Pass
West Rachelburgh, MT 51198",DL35396614,Student,1969-08-23,OT8695,North,Ford,Corolla,2004,Blue,PUV,Jordan Dennis,"8943 Ricky Alley Suite 815
West Diane, SD 16906",Barangay Santiago,Illegal Parking,Everyone sure then toward forward personal tree nice friend turn.,2133,Disputed,Nathan Berry,First offense,Yes,Yes,No
749D847C,2024-10-31,00:37:09,Lorraine Hall,Male,58,167-958-0202,"14623 Clinton Mall
Davidsonville, DE 56150",DL69892305,Student,1956-12-07,kY4727,Group,Mitsubishi,Lancer,2006,Silver,TRI,Alyssa Hawkins,"63353 Phillips Forge Apt. 047
Bakerchester, IA 63881",Barangay Suarez,Over Speeding,Pass speech within all finally foot soldier.,1805,Disputed,Robert Ortiz,First offense,Yes,No,No
CBCFA043,2024-09-07,23:24:22,Ariana Edwards,Female,24,426-243-4211x51447,"198 Wright Streets
Amyburgh, TN 50267",DL02131336,Student,2005-05-27,bs2282,Per,Toyota,Civic,2001,Red,MC,Katrina Webster,"10503 Russell Lake
Youngmouth, PA 18368",Barangay Suarez,No Seatbelt,Open rule window compare teacher middle all TV exactly.,2000,Disputed,Gabriela Valentine,None,No,No,No
F7782204,2024-09-11,03:34:56,Mitchell Meadows,Female,59,996-171-6698x228,"9225 Randall Pine
Elizabethmouth, NC 37387",DL79693983,Non-Professional,1956-05-18,WH8035,Crime,Honda,Corolla,2016,White,TRI,Ricardo Warren,"55470 Campbell Views Suite 249
Sherriberg, ND 64343",San Miguel,Over Speeding,Loss write local model yard hard foot everything.,760,Paid,Amanda Romero,Repeat offense,Yes,No,Yes
2157A0AA,2024-11-29,06:59:34,Abigail Lozano,Male,67,+1-497-082-1157x11662,"780 Jennifer Turnpike
West Tracyberg, TX 56830",DL36370036,Non-Professional,1965-09-30,xT8892,Book,Nissan,Civic,2000,White,PUB,Susan Dorsey,"PSC 0523, Box 4845
APO AA 66410",Iligan City Proper,Reckless Driving,Ball less sign recognize pay air skin behind.,1415,Paid,Amy Mills,None,No,Yes,No
5C1A39E1,2024-09-24,08:31:14,Isaiah Parker,Female,52,001-786-849-9789x326,"103 Gates Burg Suite 732
Christopherbury, HI 31783",DL19558985,Professional,1982-03-22,GS6844,However,Honda,Lancer,2022,Red,MC,Brandon Clark,"Unit 6984 Box 9763
DPO AA 73834",Iligan City Proper,Illegal Parking,Population protect majority list skill economic author.,4743,Pending,Ronald Wheeler,First offense,No,Yes,No
2A5A67A8,2024-05-23,15:57:23,Joseph Valdez,Male,50,862.866.8153,"990 Robert Inlet
Heatherborough, AZ 37647",DL77037799,Student,2004-11-01,ie1306,Themselves,Toyota,Corolla,2009,White,Gov't Vehicle,John Garcia,"589 Travis Trafficway Suite 492
New Michaelmouth, IA 61145",Barangay Tubod,Reckless Driving,Spend under evening behind out personal factor line recently then radio religious.,1489,Paid,Daniel Velazquez,Repeat offense,Yes,No,No
AB670780,2024-10-18,16:48:25,Jennifer Wright,Male,23,7088171015,"201 Brandt Meadows Apt. 927
East Deanmouth, KS 82706",DL35475182,Professional,1972-09-08,Tu0748,Expert,Honda,Civic,2016,Black,PUV,Hailey Johnson,"6859 Barry Overpass Suite 477
East Rebeccahaven, NY 47567",Tibanga,No Seatbelt,Eat support do music recently significant collection you current.,4493,Paid,Lisa Moreno,Repeat offense,Yes,No,No
BB30AD44,2024-05-25,01:38:03,Stacy Lee,Female,47,697.099.3949x491,"9142 Terrence Rapids
South Alexandraville, FL 23265",DL84987749,Professional,1971-07-19,tH6681,White,Toyota,Lancer,2021,Black,Private,Gregory Clayton,"999 Stevens Square Apt. 511
Lake Kurt, ID 96111",Barangay Santiago,No Seatbelt,Finish rich suggest occur Republican course entire.,1091,Disputed,Sharon Mason,Repeat offense,No,No,No
C61D1D1C,2024-11-20,21:34:06,Darrell Reynolds,Female,26,757.845.4310x2834,"Unit 0392 Box 9325
DPO AE 16230",DL78358143,Professional,1998-06-04,Bz1147,Case,Nissan,Lancer,2008,Black,MC,John Harvey,"36257 Perry Mall Suite 935
South Steven, IN 20211",Barangay Mahayahay,Over Speeding,Else interesting up former here join.,3849,Pending,Lisa Morales,First offense,No,No,No
8B087E61,2024-05-25,02:11:28,Lisa Dawson,Female,72,001-557-490-2716x806,"696 Jennifer Forge Apt. 984
Amystad, OR 57626",DL85597209,Professional,1962-10-03,KG7957,Thank,Nissan,Corolla,2011,Black,Gov't Vehicle,Christopher Kelley DDS,"447 Smith Greens
Lake Jeffrey, WY 25829",Linamon Road,Illegal Parking,Enough same coach beautiful heart local station everything indeed deal tree.,2883,Disputed,Paul Bennett,First offense,Yes,No,No
132245A2,2024-11-14,16:17:17,Kevin Robinson,Male,28,0276935681,"25168 Holland Pine Apt. 445
Port Kirkfort, AR 35099",DL09356398,Student,1995-12-16,OD5778,Very,Toyota,Lancer,2023,Gray,PUV,Eric Howard,"51329 Hahn Tunnel
Marychester, WY 39113",Iligan City Proper,Reckless Driving,All imagine song good people modern war upon investment physical pay.,2715,Pending,Matthew Mitchell,None,No,No,Yes
515BE99E,2024-01-08,15:06:35,Nicholas Sanchez,Male,56,188.505.1835,"1012 Amber Prairie
Lake Lisashire, OK 03731",DL09479360,Student,1989-01-30,PJ0777,Painting,Nissan,Lancer,2008,Black,Gov't Vehicle,Benjamin Smith,"882 Oconnor Squares Suite 485
West Kylehaven, OK 16482",Hinaplanon,Reckless Driving,Maintain reason executive north us mission room environmental glass begin because short.,1480,Pending,Cathy Patel,Repeat offense,Yes,Yes,Yes
A7A4D49C,2024-11-05,12:37:39,William Decker,Female,52,401.023.5886,"60299 Bennett Passage Suite 178
Alexanderstad, ID 48138",DL39951636,Professional,2006-05-02,CR2408,Value,Nissan,Altima,2004,Black,PUJ,Adam Perez,"263 Mills Shoals
Tiffanyborough, SD 88678",Barangay Tomas Cabili,No Seatbelt,Figure employee wide collection quite still.,2064,Pending,Aaron Harding,Repeat offense,No,Yes,Yes
A3978D79,2024-09-05,20:48:38,Joseph Wood,Male,60,349-670-1074x73689,"Unit 3834 Box 1764
DPO AE 90988",DL87237325,Professional,1991-04-25,Ok6773,Stand,Honda,Civic,2008,Blue,MC,Colleen Whitaker,"723 Anderson Ports Suite 014
Robinsonhaven, GA 88437",Barangay Tubod,Over Speeding,Light edge in while only organization.,500,Paid,Christopher Mora,None,No,Yes,Yes
54D50FAC,2024-11-28,06:09:02,Theresa Tate,Male,42,249-172-5885x8905,"894 Goodwin Dam
North Gary, NY 30017",DL53815508,Student,1995-07-02,Os9022,Record,Toyota,Lancer,2001,Red,Private,Michael Carpenter,"821 Simpson Expressway Apt. 663
North Stephanieside, AR 68077",Buru-un,Reckless Driving,Rich north prevent one science garden look national.,4367,Disputed,Philip Lopez,Repeat offense,No,No,Yes
C070A3E7,2024-11-18,13:38:44,Michele Hansen,Male,21,736.442.3851x58322,"48459 David Spring Apt. 748
Sethchester, ID 68313",DL30447120,Non-Professional,1954-06-06,tB4220,Great,Toyota,Lancer,2007,Red,Gov't Vehicle,Anita Hanson,"974 Todd Extension
Jonesside, IA 24201",Dalipuga,Illegal Parking,Coach not worker it color down form American size yeah person.,3571,Pending,Brian Dennis,None,Yes,No,Yes
3392C722,2024-02-25,01:48:43,Lacey Rogers,Female,23,+1-492-730-2103x9314,"9885 Clark Lane Apt. 784
Wilsonville, OR 98707",DL79228853,Student,2006-08-11,Oa3653,Power,Honda,Altima,2010,Black,Gov't Vehicle,Jonathan Garrison,"996 Charlene Crescent
South Aliciafort, WY 84500",Barangay Suarez,Reckless Driving,Heart who seek language act number perform site former because hot.,1085,Paid,Amanda Evans,None,Yes,Yes,No
32D4D78D,2024-11-23,09:27:07,George Sanders,Male,71,9898756041,"743 Mccormick Overpass Apt. 065
Brownburgh, AL 29154",DL88086440,Non-Professional,2000-03-19,Yc6722,Discover,Nissan,Ranger,2013,Blue,PUB,Angela Esparza,"0428 Ronald Station Suite 157
North Jennifer, IL 42825",Linamon Road,Over Speeding,Church this police plant common red for catch eat.,4571,Pending,Jill Johnson,First offense,Yes,Yes,Yes
C3EC2CDA,2024-05-07,12:01:24,Larry Rodriguez,Female,68,(297)263-4553,"96909 Kenneth Tunnel Suite 799
West Raymondmouth, TX 83953",DL44583865,Student,1988-05-24,PD5758,Recently,Ford,Civic,2008,Black,MC,Steven Hines,"60123 Lam Lodge Apt. 136
Ponceborough, ME 30167",Pala-o,Over Speeding,Health paper so include out become authority.,4709,Pending,Curtis Williams,First offense,Yes,No,Yes
5709EB4E,2024-04-06,21:48:52,Charles Kelley,Male,66,3883980874,"63267 Mary Fields
Kevinfort, WI 89640",DL53017962,Professional,1995-05-23,gX2349,Imagine,Nissan,Ranger,2010,Silver,TRI,Erica Stewart,"685 Strong Port Suite 885
North Stephanieville, VT 42878",Hinaplanon,Over Speeding,Seem free skill however cultural where exactly establish air remain hot each.,3848,Disputed,Stephanie Sellers,First offense,Yes,Yes,No
D35CF53D,2024-04-22,16:03:55,Steven Rowland,Female,60,001-034-806-7844x930,"89361 Gutierrez Terrace
Deborahshire, KY 30101",DL52401094,Non-Professional,1952-10-06,Di0033,Black,Ford,Corolla,2012,Silver,Gov't Vehicle,Julie Evans,"44887 David Ferry Suite 474
Port Joseph, IL 02938",Iligan City Proper,Illegal Parking,Before third certain financial new hot issue international marriage party.,1540,Paid,Jennifer Montgomery,None,No,No,Yes
A327E85C,2024-09-09,23:15:47,Stacey Mcclain,Female,21,414.519.4133x73669,"6097 Danielle Haven Suite 543
Haleytown, MS 64761",DL80984369,Student,1983-10-14,LH2685,Lay,Honda,Ranger,2015,Black,Gov't Vehicle,Glenn Chambers,"711 Nina Harbors Apt. 266
Annastad, OH 30422",Barangay Tubod,No Seatbelt,Source who could role mention method decide today knowledge yeah.,940,Pending,Lonnie Larsen,None,No,Yes,No
85A55B94,2024-05-15,03:01:34,Thomas Mcknight,Male,75,2671017400,"4199 Solomon Wells Suite 204
Thompsonmouth, MN 98727",DL07892407,Professional,1975-02-19,KE1029,Among,Toyota,Civic,2015,Silver,TRI,Janet Pratt,"29252 Heather Vista Apt. 564
Lake Cheyenne, AR 35375",Tibanga,Illegal Parking,Really at particularly this artist give natural decide chair central.,4724,Pending,Jennifer Davis,Repeat offense,No,Yes,No
C17631C8,2024-07-15,08:51:22,Erica Bradshaw,Female,62,728-408-2863x7622,"Unit 3788 Box 7268
DPO AA 50274",DL74718531,Non-Professional,1953-07-02,OS9526,From,Mitsubishi,Civic,2002,Black,Private,Mark Arnold,"6314 Gay Locks Apt. 437
Dawsonland, OK 87735",Iligan City Proper,Reckless Driving,Rise accept face difference along space window.,3329,Pending,Calvin Mason,Repeat offense,No,No,No
79BEE008,2024-06-19,10:20:33,Madison Boyle,Female,56,(533)601-2156,"120 Danielle Vista Suite 454
West Lisa, NE 53329",DL61276350,Professional,1957-03-16,Aw2094,Imagine,Honda,Civic,2000,Blue,PUJ,Steven Silva,"67553 Hawkins Fork Apt. 178
Lake Jasonshire, MA 74075",Barangay Tubod,No Seatbelt,Away again major claim skill capital strong suggest short join do building.,1110,Pending,Carl Horn,First offense,Yes,No,Yes
E5DD9552,2024-08-10,17:49:58,Joshua Wright,Female,58,+1-621-266-3773x3297,"70089 Katie Pass Apt. 846
Farmerside, IA 21196",DL32313965,Non-Professional,1980-03-07,Ga0209,Miss,Toyota,Corolla,2018,Blue,MC,Kerri Rodriguez,"291 Newman Ways Suite 665
New Sherrytown, WA 20303",Barangay Santiago,No Seatbelt,Eight any anyone wish second choose better put owner sure.,4966,Disputed,Lisa Williams,First offense,Yes,Yes,Yes
B27CF6A2,2024-12-06,03:18:51,Andrew Parsons,Male,41,001-123-566-5643,"528 Sanders Meadow
South Elizabethborough, WY 20968",DL62973831,Student,1982-10-12,PB7829,Carry,Ford,Corolla,2012,Blue,MC,Steven Martinez,"823 Roy Lock
Martinhaven, MD 95208",Barangay Suarez,No Seatbelt,Keep expect hundred quickly impact senior business girl production.,2785,Paid,Melissa Potter MD,None,Yes,Yes,No
01EDCFDC,2024-03-01,08:55:30,John Jones,Female,58,001-880-246-5436x8628,"5663 Martinez Court Suite 420
New Nicholasville, WI 53285",DL19697722,Professional,1969-05-07,rt8573,According,Mitsubishi,Altima,2020,Blue,TRI,Keith Goodwin,"USNS Taylor
FPO AA 94040",Barangay Suarez,Illegal Parking,Oil energy whatever movement budget foreign part soldier south laugh should seem.,3903,Pending,Savannah Hall,First offense,No,No,Yes
F0D1FE72,2024-06-08,09:52:07,Christian Blair,Female,22,+1-622-310-7283x682,"Unit 9408 Box 0803
DPO AE 90515",DL53749539,Student,1956-06-16,wt3066,Appear,Honda,Lancer,2014,Blue,PUJ,Donald Whitaker,"0087 Lopez Spur Suite 351
Gonzalezbury, IN 40677",San Miguel,Reckless Driving,Language management respond trouble lead Mr rock south once notice scientist thank evening.,1999,Pending,Paul Sharp,None,No,Yes,No
6C958C61,2024-08-22,10:18:59,Robert Mitchell,Female,36,675.785.2741x174,"17024 Walker Points Suite 888
East Melissamouth, NM 72491",DL77193284,Professional,1951-07-28,IO1982,Job,Ford,Civic,2017,Blue,PUV,Michael Lambert,"53624 Jeremiah Parkway
East Tracyton, CT 13912",Aguinaldo,Illegal Parking,Hair learn exactly talk offer morning discuss force body wonder process campaign.,639,Paid,Adam Gallagher,First offense,Yes,Yes,No
78EB73BE,2024-03-27,04:33:08,Ariana Smith,Female,45,+1-330-128-3972,"57731 Paul Mall
New Heather, IN 96364",DL88511468,Professional,1970-05-12,Qv3726,Reason,Mitsubishi,Civic,2012,White,TRI,Dr. Jennifer Herrera,"00693 Smith Circle
Lake Samuel, ND 36100",Tibanga,Over Speeding,Hard player military power draw large song popular run owner hope heart produce.,1726,Paid,Alexander Medina,None,Yes,Yes,Yes
54E6A8C2,2024-06-16,03:47:43,Kimberly Lewis,Male,70,914.198.8693x78903,"41985 Elizabeth Mountain Suite 075
Lake Garyborough, MT 37899",DL37939265,Professional,1994-04-16,JN5925,List,Ford,Civic,2007,White,Private,David George,"9437 Jacqueline Glens Suite 548
South Charles, HI 83544",Aguinaldo,Over Speeding,Money admit entire seat sound would painting time understand assume economy recognize plant.,2041,Paid,Michael Watson,None,No,Yes,No
A520C945,2024-01-07,18:56:46,Stacy Cummings,Female,63,001-090-062-7420x4054,"9870 Hall Radial
Quinnbury, UT 18551",DL08687745,Non-Professional,1983-12-04,HE4383,Hair,Honda,Lancer,2012,Gray,TRI,Steve Sheppard,"977 Howard Streets
Lake Sethmouth, AR 22564",Barangay Tomas Cabili,Illegal Parking,Able fill draw determine suddenly eight.,3380,Disputed,Brittney Smith,None,Yes,No,No
3D16B04A,2024-02-17,00:26:56,Amber Smith,Female,53,(256)671-3027x1769,"266 Michael Isle Suite 608
West Eddie, NV 16285",DL40939986,Professional,1959-02-11,wa5347,Statement,Toyota,Corolla,2015,Blue,MC,Aaron Patrick,"643 Perez Pine Apt. 076
Benjaminshire, TX 36238",Barangay Santiago,Reckless Driving,Argue table candidate prove happy necessary collection rise page standard better.,2339,Paid,John Bridges,None,Yes,No,No
CFCE0F1C,2024-06-28,06:46:13,William Fletcher,Female,31,2498040216,"30271 Jennifer Plains Apt. 809
Tamiland, MI 05751",DL66750236,Student,1964-06-25,Yh0640,Difference,Nissan,Altima,2010,Blue,TRI,James Hanna,"3138 Linda Curve Apt. 646
Stephenmouth, TN 05230",Barangay Suarez,Reckless Driving,Defense rock magazine once floor door environment gun.,2112,Disputed,Paul Vasquez,First offense,Yes,No,No
FFE635E8,2024-11-11,15:28:23,Stefanie Bailey,Female,65,(633)724-5646,"USS Mcdaniel
FPO AE 28571",DL25096594,Professional,1999-11-07,no6313,Research,Nissan,Corolla,2000,Silver,PUV,Nicholas Lawrence,"83006 Hogan Loop Suite 107
North Ashley, ME 62525",San Miguel,Illegal Parking,Area analysis travel game current several.,4535,Pending,Stephen Benitez,None,No,Yes,Yes
C0CDC9B5,2024-05-31,00:18:19,Joseph Marks,Female,45,001-452-974-9604,"2606 Walters Village Apt. 094
East Rebecca, UT 29108",DL98069351,Non-Professional,1992-06-18,xT2488,Physical,Mitsubishi,Altima,2007,Gray,PUJ,Sarah Johnson,"6659 Amanda Unions
Hendersonmouth, NV 50946",Buru-un,No Seatbelt,Color fish hope option fast over north room.,3047,Paid,Jeffrey Kelley,First offense,No,No,No
1ADF5EE7,2024-06-14,01:10:54,Sandra Smith,Male,45,(262)580-6394,"5620 Thompson Viaduct Suite 334
Port Robert, FL 73610",DL80221659,Professional,2006-01-08,lz5348,Consumer,Toyota,Altima,2020,Silver,Private,Cynthia Smith,"175 Anita Junctions
West Juanburgh, NM 41765",Pala-o,Over Speeding,Water strategy film other drop opportunity.,1358,Paid,Brianna Clark,None,No,Yes,No
F44EA896,2024-01-03,21:04:23,Amanda Compton,Male,33,(249)554-8464,"7600 Holly Branch
East Edward, HI 27763",DL83062239,Student,1964-11-16,tU3646,Southern,Honda,Corolla,2001,Gray,PUB,Morgan Rocha,"040 Aaron Mall Apt. 739
Millerville, KS 63734",Tibanga,Reckless Driving,Institution true shoulder station daughter should them well order community.,2936,Paid,Megan Garcia,Repeat offense,Yes,No,Yes
